/* Group A */
Team Ignis (UIUC);#131f33;#fa630
HecarimJfromUTA(LSU);#582c83;#ffc72c
Bearly Bronze (CU);#b31b1b;#ffffff
Golden Mishas (CAL);#41e42;#ffc72c
Blue Bonobos (U-M);#ffcf6;#02a54
Team Maroon (TAMU);#651d32;#ffffff
Worcester Polybomb (WPI);#ac2b37;#a9b0b7
SFSU (SFSU);#231161;#c9970
Storm Wolves (SBU);#9900;#000
8 Clap (UCLA);#3284bf;#ffe80
Proceed to Checkout (UWPlatt);#00ff;#ff5e0
Gator Storm (UF);#fa4616;#021a5
Temple Owls (TU);#99033;#fecb0
Raynor's Raiders (BC);#03d79;#a7a9ac
The Neighborhood (UCB);#cfb87c;#000
Purplol Tanks (USM);#000;#ffab0

/* Group B */
Tricky Turtles (UCONN);#0e2f;#ffffff
Triton Heroes (UCSD);#182b49;#c69214
Goose Tattoo (UW);#000;#fcd450
Ad Finem (TTU);#cc00;#000
Rams (VCU);#000;#f8b80
Dank Squad (OSU);#c3450;#ffffff
Golden Gaels (QU);#9d1939;#eebd31
Nerdbirds (UTSA);#dc445;#c2340
First Pick Nova (UW);#b711;#e7d9c1
Tar Heeroes (UNCCH);#7bafd4;#ffffff
Grease Trucks (RU);#cc033;#5f6a72
CSULB JOSAC (CSULB);#ffac2a;#000
Scratch em (UK);#033a0;#ffffff
UNT Eagles (UNT);#0853e;#ffffff
Kairos (AC);#05195;#ffffff
WoodLeague (CSUF);#04473;#f17e0

/* Group C */
UTA HOTD (UTA);#f58025;#064b1
Rouge et Au (Laval);#ed1c24;#ffcb5
Pomona Ponies (CPP);#1e4d2b;#c693a
Varsity Blues (UofT);#0204e;#ffffff
UNCC (UNCC);#46a38;#8a745a
Bear-on-a-Cat (BC);#011bb;#ffffff
USC  (USC);#9d2235;#ffc72c
Third String (OSU);#bb00;#666666
Crimson Gaming (UTAH);#cc00;#000
Team GG  (UMN);#ffcc33;#7a019
Roll Safe (UTD);#c75b12;#08542
Core Curriculum (CU);#c4d8e2;#ffffff
